bill_id,date,hour,outlet,item_name,quantity,price,payment_mode
B25091,08-05-2026,18,Connaught Place,Filter Coffee,2,60,Card
B29317,13-06-2026,17,Connaught Place,Samosa,1,25,Cash
B23510,25-04-2026,21,Connaught Place,Iced Tea,1,80,UPI
B20169,28-03-2026,18,Connaught Place,Adrak Chai,1,35,Cash
B28947,10-06-2026,10,Connaught Place,Masala Chai,1,30,UPI
B16562,25-02-2026,8,Noida Sec 18,Poha,1,50,UPI
B23399,24-04-2026,17,Karol Bagh,Elaichi Chai,1,40,Cash
B21375,07-04-2026,8,Connaught Place,Poha,1,50,UPI
B28312,04-06-2026,8,Karol Bagh,Cold Coffee,1,90,UPI
B19329,21-03-2026,19,Connaught Place,Elaichi Chai,1,40,Cash
B19991,26-03-2026,19,Noida Sec 18,Masala Chai,1,30,Cash
B10839,08-01-2026,8,Karol Bagh,Poha,2,50,UPI
B25008,07-05-2026,8,Karol Bagh,Bun Maska,1,40,Cash
B28334,04-06-2026,10,Noida Sec 18,Vada Pav,1,35,UPI
B26232,17-05-2026,19,Karol Bagh,Samosa,1,25,UPI
B28342,04-06-2026,9,Noida Sec 18,Cold Coffee,2,90,UPI
B25054,07-05-2026,9,Noida Sec 18,Adrak Chai,2,35,Card
B31224,29-06-2026,9,Karol Bagh,Iced Tea,2,80,Cash
B15317,15-02-2026,18,Connaught Place,Samosa,2,25,UPI
B16564,25-02-2026,17,Noida Sec 18,Vada Pav,1,35,UPI
B13801,02-02-2026,18,Connaught Place,Elaichi Chai,1,40,Card
B18084,10-03-2026,20,Noida Sec 18,Masala Chai,1,30,UPI
B15498,16-02-2026,10,Noida Sec 18,Maggi,1,60,UPI
B22598,17-04-2026,8,Noida Sec 18,Masala Chai,1,30,Cash
B21295,06-04-2026,8,Karol Bagh,Filter Coffee,1,60,UPI
B26667,21-05-2026,9,Connaught Place,Adrak Chai,2,35,Cash
B18382,13-03-2026,8,Connaught Place,Adrak Chai,1,35,Cash
B31364,30-06-2026,18,Noida Sec 18,Paneer Sandwich,1,80,Card
B16840,28-02-2026,22,Connaught Place,Adrak Chai,2,35,Cash
B12669,23-01-2026,10,Noida Sec 18,Filter Coffee,1,60,UPI
B11592,14-01-2026,19,Noida Sec 18,Bun Maska,2,40,UPI
B22133,13-04-2026,11,Noida Sec 18,Iced Tea,1,80,Cash
B17926,09-03-2026,11,Karol Bagh,Masala Chai,2,30,UPI
B16981,01-03-2026,18,Karol Bagh,Masala Chai,1,30,UPI
B19442,22-03-2026,17,Connaught Place,Filter Coffee,1,60,UPI
B11797,16-01-2026,11,Karol Bagh,Poha,1,50,Cash
B27523,28-05-2026,11,Karol Bagh,Maggi,1,60,Cash
B21229,06-04-2026,9,Connaught Place,Aloo Patty,1,30,Cash
B30662,24-06-2026,10,Noida Sec 18,Maggi,1,60,UPI
B28427,05-06-2026,8,Karol Bagh,Cold Coffee,2,90,UPI
B10488,05-01-2026,8,Connaught Place,Adrak Chai,1,35,UPI
B30595,24-06-2026,18,Connaught Place,Kulhad Chai,1,50,UPI
B29316,13-06-2026,12,Connaught Place,Iced Tea,1,80,UPI
B18494,14-03-2026,17,Connaught Place,Masala Chai,1,30,UPI
B10689,06-01-2026,12,Noida Sec 18,Cold Coffee,1,90,UPI
B18437,13-03-2026,8,Noida Sec 18,Masala Chai,2,30,UPI
B21523,08-04-2026,19,Karol Bagh,Adrak Chai,1,35,Cash
B13892,02-02-2026,11,Noida Sec 18,Paneer Sandwich,2,80,Card
B21362,07-04-2026,13,Connaught Place,Masala Chai,1,30,
B25747,13-05-2026,14,Karol Bagh,Iced Tea,2,80,UPI
B28272,04-06-2026,13,Connaught Place,Adrak Chai,1,35,UPI
B28822,08-06-2026,8,Noida Sec 18,Kulhad Chai,1,50,UPI
B28800,08-06-2026,8,Noida Sec 18,Bun Maska,1,40,Cash
B24600,04-05-2026,17,Connaught Place,Masala Chai,1,30,Cash
B26337,18-05-2026,9,Noida Sec 18, Fresh Lime Soda,1,60,
B20729,01-04-2026,13,Noida Sec 18,Cold Coffee,1,90,UPI
B26898,23-05-2026,18,Connaught Place,Fresh Lime Soda,1,60,Card
B10716,07-01-2026,9,Connaught Place,Cold Coffee,2,90,Cash
B12254,20-01-2026,12,Karol Bagh,Masala Chai,1,30,UPI
B25109,08-05-2026,13,Connaught Place,Iced Tea,1,80,UPI
B12335,21-01-2026,8,Connaught Place,Filter Coffee,1,60,Cash
B22971,21-04-2026,16,Connaught Place,Samosa,1,25,UPI
B11294,12-01-2026,10,Karol Bagh,Masala Chai,1,30,UPI
B28182,03-06-2026,22,Karol Bagh,Cold Coffee,1,90,UPI
B22368,15-04-2026,9,Noida Sec 18,Samosa,1,25,UPI
B17202,03-03-2026,8,Karol Bagh,Maggi,1,60,UPI
B12891,25-01-2026,17,Karol Bagh,Adrak Chai,1,35,Card
B24607,04-05-2026,15,Karol Bagh,Samosa,2,25,UPI
B15876,20-02-2026,8,Connaught Place,Masala Chai,1,30,UPI
B16971,01-03-2026,15,Karol Bagh,Bun Maska,1,40,Card
B17210,03-03-2026,14,Karol Bagh,Paneer Sandwich,1,80,UPI
B21666,09-04-2026,10,Noida Sec 18,Kulhad Chai,1,50,Cash
B19020,18-03-2026,9,Karol Bagh,Filter Coffee,1,60,Cash
B12195,19-01-2026,14,Noida Sec 18,Kulhad Chai,1,50,UPI
B25030,07-05-2026,14,Karol Bagh,Masala Chai,1,30,UPI
B26621,20-05-2026,11,Noida Sec 18,Samosa,1,25,UPI
B11108,10-01-2026,12,Noida Sec 18,Maggi,1,60,UPI
B15234,14-02-2026,22,Karol Bagh,Kulhad Chai,1,50,Cash
B18961,18-03-2026,9,Connaught Place, Elaichi Chai,1,40,UPI
B17143,02-03-2026,8,Noida Sec 18,Samosa,1,25,Cash
B25316,10-05-2026,14,Connaught Place,Kulhad Chai,1,50,UPI
B10810,08-01-2026,17,Connaught Place,Elaichi Chai,1,40,UPI
B10100,01-01-2026,10,Noida Sec 18,Kulhad Chai,1,50,UPI
B26080,16-05-2026,16,Connaught Place,Filter Coffee,1,60,UPI
B23940,29-04-2026,16,Connaught Place,Poha,1,50,UPI
B16166,22-02-2026,15,Connaught Place,Filter Coffee,-1,60,UPI
B19647,23-03-2026,17,Noida Sec 18,Paneer Sandwich,1,80,Cash
B12578,23-01-2026,8,Connaught Place,Masala Chai,1,30,UPI
B22359,15-04-2026,8,Noida Sec 18,Iced Tea,1,80,Cash
B24301,01-05-2026,11,Noida Sec 18,Fresh Lime Soda,1,60,UPI
B24203,01-05-2026,10,Connaught Place,Masala Chai,1,30,Cash
B18996,18-03-2026,8,Connaught Place,Masala Chai,2,30,Card
B11030,10-01-2026,15,Connaught Place,Bun Maska,1,40,UPI
B27283,26-05-2026,10,Karol Bagh,Iced Tea,2,80,UPI
B20402,30-03-2026,16,Connaught Place,Vada Pav,1,35,Cash
B19831,25-03-2026,21,Karol Bagh,Fresh Lime Soda,1,60,UPI
B11764,16-01-2026,8,Connaught Place,Elaichi Chai,1,40,UPI
B10299,03-01-2026,22,Karol Bagh,Iced Tea,2,80,UPI
B26095,16-05-2026,15,Karol Bagh,Cold Coffee,2,90,UPI
B24697,05-05-2026,8,Connaught Place,Samosa,2,25,UPI
B17823,08-03-2026,15,Karol Bagh,Adrak Chai,1,35,Card
B21100,05-04-2026,21,Connaught Place,Masala Chai,2,30,UPI
B29599,15-06-2026,9,Noida Sec 18,Elaichi Chai,1,40,Cash
B27488,28-05-2026,9,Connaught Place,Fresh Lime Soda,1,60,UPI
B21906,12-04-2026,20,Connaught Place,Adrak Chai,1,35,UPI
B22218,14-04-2026,11,Karol Bagh,Cold Coffee,1,90,UPI
B27441,27-05-2026,16,Noida Sec 18,Green Tea,2,40,Cash
B10678,06-01-2026,20,Noida Sec 18,Bun Maska,1,40,UPI
B17015,01-03-2026,16,Karol Bagh,Elaichi Chai,2,40,Card
B23329,23-04-2026,8,Noida Sec 18,Elaichi Chai,2,40,Card
B26327,18-05-2026,9,Karol Bagh,Cold Coffee,1,90,
B13027,26-01-2026,10,Karol Bagh,Elaichi Chai,2,40,Cash
B14698,10-02-2026,10,Connaught Place,Aloo Patty,2,30,UPI
B28673,07-06-2026,17,Karol Bagh,GREEN TEA,1,40,Cash
B13510,30-01-2026,11,Noida Sec 18,Vada Pav,2,35,Cash
B16304,23-02-2026,10,Karol Bagh,Kulhad Chai,1,50,Cash
B26676,21-05-2026,14,Connaught Place,Cold Coffee,1,90,UPI
B16310,23-02-2026,8,Noida Sec 18,Adrak Chai,1,35,UPI
B22300,15-04-2026,12,Connaught Place,Cold Coffee,1,90,Cash
B20246,28-03-2026,21,Karol Bagh,Adrak Chai,1,35,UPI
B15554,17-02-2026,16,Karol Bagh,Adrak Chai,1,35,UPI
B29546,15-06-2026,19,Connaught Place,Aloo Patty,1,30,Cash
B30213,20-06-2026,17,Noida Sec 18,Samosa,1,25,Cash
B26725,21-05-2026,15,Noida Sec 18,Masala Chai,1,30,UPI
B27919,01-06-2026,20,Connaught Place,Iced Tea,1,80,UPI
B22337,15-04-2026,16,Karol Bagh,Aloo Patty,2,30,UPI
B20531,31-03-2026,16,Connaught Place,masala chai,1,30,Cash
B25714,13-05-2026,8,Connaught Place,Iced Tea,1,80,Cash
B27709,30-05-2026,18,Connaught Place,Cold Coffee,1,90,UPI
B16485,25-02-2026,10,Connaught Place,Masala Chai,1,30,UPI
B24983,07-05-2026,8,Connaught Place,Iced Tea,1,80,UPI
B16664,26-02-2026,18,Noida Sec 18,Adrak Chai,1,35,UPI
B26128,16-05-2026,19,Noida Sec 18,Cold Coffee,1,90,UPI
B19140,19-03-2026,14,Karol Bagh,Kulhad Chai,1,50,UPI
B16055,21-02-2026,20,Karol Bagh,Vada Pav,1,35,Cash
B15658,18-02-2026,14,Connaught Place,Kulhad Chai,1,50,UPI
B12237,20-01-2026,16,Connaught Place,Cold Coffee,1,90,UPI
B16182,22-02-2026,21,Karol Bagh,Samosa,1,25,UPI
B27677,29-05-2026,10,Noida Sec 18,Fresh Lime Soda,1,60,UPI
B11227,11-01-2026,15,Noida Sec 18,Vada Pav,1,35,UPI
B16340,24-02-2026,8,Connaught Place,Masala Chai,1,30,Cash
B20713,01-04-2026,8,Noida Sec 18,Cold Coffee,2,90,Cash
B15404,16-02-2026,19,Connaught Place,Adrak Chai,1,35,Cash
B21397,07-04-2026,17,Karol Bagh,Bun Maska,2,40,UPI
B22792,19-04-2026,16,Karol Bagh,Filter Coffee,1,60,Cash
B24273,01-05-2026,20,Noida Sec 18,Cold Coffee,1,90,Cash
B18263,12-03-2026,9,Karol Bagh,Kulhad Chai,1,50,Cash
B11343,12-01-2026,8,Noida Sec 18,Maggi,2,60,Card
B20353,29-03-2026,19,Karol Bagh,Kulhad Chai,1,50,UPI
B20476,30-03-2026,16,Karol Bagh,Masala Chai,1,30,UPI
B27913,01-06-2026,9,Connaught Place,Filter Coffee,1,60,UPI
B25810,14-05-2026,8,Connaught Place,Cold Coffee,2,90,UPI
B26839,22-05-2026,9,Noida Sec 18,Green Tea,1,40,UPI
B25983,15-05-2026,8,Karol Bagh,Fresh Lime Soda,2,60,Card
B17047,02-03-2026,8,Connaught Place,Vada Pav,1,35,UPI
B21409,07-04-2026,10,Karol Bagh,Masala Chai,2,30,Card
B20677,01-04-2026,8,Connaught Place,Masala Chai,1,30,Cash
B18087,10-03-2026,8,Noida Sec 18,Paneer Sandwich,2,80,Card
B28728,08-06-2026,16,Connaught Place,Iced Tea,1,80,UPI
B20007,26-03-2026,11,Noida Sec 18,Cold Coffee,2,90,UPI
B25861,14-05-2026,13,Karol Bagh,Iced Tea,1,80,Cash
B22637,18-04-2026,16,Connaught Place,Masala Chai,1,30,Cash
B30699,25-06-2026,18,Connaught Place,Iced Tea,1,80,UPI
B21803,11-04-2026,18,Connaught Place,Kulhad Chai,1,50,UPI
B26714,21-05-2026,18,Noida Sec 18,Masala Chai,1,30,UPI
B23327,23-04-2026,16,Noida Sec 18,Elaichi Chai,1,40,UPI
B17697,07-03-2026,19,Karol Bagh,Aloo Patty,1,30,UPI
B23925,28-04-2026,14,Noida Sec 18,Maggi,1,60,UPI
B28835,08-06-2026,18,Noida Sec 18,Vada Pav,1,35,UPI
B14830,11-02-2026,11,Connaught Place,Samosa,1,25,Cash
B21562,08-04-2026,9,Noida Sec 18,Iced Tea,1,80,Cash
B12741,24-01-2026,17,Karol Bagh,Adrak Chai,1,35,UPI
B13887,02-02-2026,10,Noida Sec 18,Vada Pav,2,35,Cash
B13021,26-01-2026,10,Karol Bagh,Masala Chai,1,30,Cash
B16826,28-02-2026,15,Connaught Place,Samosa,1,25,Cash
B29112,11-06-2026,8,Connaught Place,ICED TEA,1,80,UPI
B28021,01-06-2026,9,Noida Sec 18,Samosa,1,25,UPI
B17058,02-03-2026,8,Connaught Place,Samosa,1,25,UPI
B22322,15-04-2026,9,Karol Bagh,Fresh Lime Soda,1,60,Cash
B11863,17-01-2026,15,Connaught Place,Adrak Chai,1,35,UPI
B16631,26-02-2026,20,Karol Bagh,Filter Coffee,1,60,Card
B10733,07-01-2026,19,Karol Bagh,Filter Coffee,2,60,UPI
B14311,06-02-2026,10,Karol Bagh,Kulhad Chai,1,50,UPI
B29713,16-06-2026,8,Karol Bagh,Adrak Chai,1,35,UPI
B29416,14-06-2026,13,Connaught Place,Vada Pav,1,35,Cash
B11656,15-01-2026,10,Karol Bagh,Masala Chai,2,30,UPI
B29097,11-06-2026,16,Connaught Place,Vada Pav,1,35,UPI
B21728,10-04-2026,14,Connaught Place,Cold Coffee,2,90,UPI
B18875,17-03-2026,8,Connaught Place,Samosa,1,25,UPI
B29902,18-06-2026,8,Connaught Place,Masala Chai,1,30,UPI
B20441,30-03-2026,8,Connaught Place,Vada Pav,1,35,UPI
B10252,03-01-2026,18,Connaught Place,Vada Pav,2,35,Cash
B11937,17-01-2026,20,Noida Sec 18,Samosa,1,25,Cash
B23786,27-04-2026,8,Noida Sec 18,Filter Coffee,1,60,Card
B26338,18-05-2026,10,Noida Sec 18,Fresh Lime Soda,1,60,UPI
B27039,24-05-2026,14,Karol Bagh,Paneer Sandwich,1,80,UPI
B10312,03-01-2026,22,Karol Bagh,Filter Coffee,1,60,Cash
B25770,13-05-2026,20,Noida Sec 18,Vada Pav,1,35,Cash
B30002,19-06-2026,11,Connaught Place,Bun Maska,1,40,Card
B25205,09-05-2026,18,Connaught Place,Elaichi Chai,1,40,Cash
B10468,05-01-2026,10,Connaught Place,Elaichi Chai,1,40,Card
B25245,09-05-2026,22,Karol Bagh,Bun Maska,1,40,UPI
B16179,22-02-2026,16,Karol Bagh,Masala Chai,2,30,Cash
B10701,07-01-2026,14,Connaught Place,Elaichi Chai,1,40,UPI
B17461,05-03-2026,19,Karol Bagh,Masala Chai,1,30,Cash
B29143,11-06-2026,10,Karol Bagh,Filter Coffee,1,60,Cash
B17380,04-03-2026,14,Noida Sec 18,Iced Tea,2,80,Cash
B21977,12-04-2026,22,Karol Bagh,Cold Coffee,1,90,UPI
B30259,21-06-2026,13,Connaught Place,Cold Coffee,1,90,UPI
B25987,15-05-2026,19,Karol Bagh,Poha,1,50,UPI
B10932,09-01-2026,11,Connaught Place,Filter Coffee,1,60,UPI
B31367,30-06-2026,8,Noida Sec 18,Masala Chai,1,30,Cash
B17782,08-03-2026,17,Connaught Place,Masala Chai,2,30,UPI
B11560,14-01-2026,8,Karol Bagh,Masala Chai,2,30,UPI
B29438,14-06-2026,19,Connaught Place,Adrak Chai,1,35,Cash
B27178,25-05-2026,9,Karol Bagh,Aloo Patty,1,30,UPI
B10978,09-01-2026,14,Karol Bagh,Cold Coffee,2,90,UPI
B20370,29-03-2026,17,Karol Bagh,Masala Chai,1,30,UPI
B12222,20-01-2026,8,Connaught Place,Aloo Patty,2,30,UPI
B10200,02-01-2026,11,Noida Sec 18,Filter Coffee,1,60,Cash
B18321,12-03-2026,12,Noida Sec 18,Masala Chai,1,30,Cash
B31119,28-06-2026,22,Karol Bagh,Elaichi Chai,1,40,UPI
B13672,01-02-2026,18,Connaught Place,Elaichi Chai,1,40,UPI
B21827,11-04-2026,16,Connaught Place,Filter Coffee,1,60,UPI
B17329,04-03-2026,10,Karol Bagh,Masala Chai,1,30,UPI
B22699,18-04-2026,15,Karol Bagh,Samosa,1,25,UPI
B15059,13-02-2026,8,Connaught Place,adrak chai,2,35,Card
B19172,19-03-2026,15,Noida Sec 18,Masala Chai,1,30,UPI
B25578,12-05-2026,17,Karol Bagh,Iced Tea,1,80,Cash
B15906,20-02-2026,14,Connaught Place,Fresh Lime Soda,1,60,Cash
B10348,04-01-2026,15,Connaught Place,Masala Chai,1,30,UPI
B26985,24-05-2026,19,Connaught Place,Iced Tea,1,80,UPI
B21205,05-04-2026,14,Noida Sec 18,Masala Chai,1,30,UPI
B12994,26-01-2026,12,Connaught Place,Poha,1,50,UPI
B13499,30-01-2026,8,Karol Bagh,Masala Chai,1,30,Cash
B25404,10-05-2026,18,Noida Sec 18,Fresh Lime Soda,1,60,Cash
B13297,28-01-2026,18,Noida Sec 18,Masala Chai,1,30,UPI
B28288,04-06-2026,16,Connaught Place,Iced Tea,1,80,UPI
B28604,07-06-2026,15,Connaught Place,Cold Coffee,2,90,UPI
B26396,19-05-2026,20,Connaught Place,Fresh Lime Soda,1,60,UPI
B14767,10-02-2026,8,Karol Bagh,Cold Coffee,2,90,Card
B29824,17-06-2026,19,Karol Bagh,SAMOSA,2,25,UPI
B27700,30-05-2026,22,Connaught Place,Vada Pav,1,35,Card
B28354,04-06-2026,20,Noida Sec 18,Kulhad Chai,1,50,Cash
B28181,03-06-2026,12,Karol Bagh,Green Tea,1,40,UPI
B19097,19-03-2026,8,Connaught Place,Filter Coffee,2,60,UPI
B23857,28-04-2026,8,Connaught Place,MAGGI,1,60,UPI
B27197,25-05-2026,12,Karol Bagh,Samosa,2,25,
B13724,01-02-2026,16,Karol Bagh,Paneer Sandwich,2,80,UPI
B14008,03-02-2026,10,Noida Sec 18,Filter Coffee,2,60,UPI
B24487,03-05-2026,22,Connaught Place,Vada Pav,2,35,UPI
B25816,14-05-2026,21,Connaught Place,Fresh Lime Soda,1,60,UPI
B21581,09-04-2026,16,Connaught Place,Iced Tea,1,80,Cash
B28692,07-06-2026,15,Noida Sec 18,Iced Tea,1,80,Cash
B31192,29-06-2026,16,Connaught Place,Masala Chai,1,30,UPI
B28663,07-06-2026,21,Karol Bagh,Vada Pav,1,35,UPI
B30929,27-06-2026,22,Connaught Place,Maggi,2,60,UPI
B29960,18-06-2026,10,Karol Bagh,Fresh Lime Soda,1,60,Card
B26062,16-05-2026,17,Connaught Place,Masala Chai,2,30,UPI
B23530,25-04-2026,18,Karol Bagh,Masala Chai,1,30,Cash
B18294,12-03-2026,13,Karol Bagh,Vada Pav,1,35,Cash
B10803,08-01-2026,18,Connaught Place,Masala Chai,1,30,Cash
B16376,24-02-2026,10,Connaught Place,adrak chai,1,35,UPI
B22258,14-04-2026,17,Noida Sec 18,Adrak Chai,1,35,Cash
B16451,25-02-2026,8,Connaught Place,Elaichi Chai,2,40,Card
B21116,05-04-2026,16,Connaught Place,Masala Chai,1,30,UPI
B25111,08-05-2026,12,Connaught Place, Adrak Chai,1,35,UPI
B29886,18-06-2026,9,Connaught Place,Poha,1,50,Cash
B17355,04-03-2026,18,Noida Sec 18,Paneer Sandwich,1,80,Cash
B21602,09-04-2026,18,Connaught Place,Elaichi Chai,1,40,Cash
B15462,16-02-2026,8,Karol Bagh,Paneer Sandwich,1,80,Cash
B14408,07-02-2026,19,Connaught Place,Green Tea,2,40,UPI
B20918,03-04-2026,14,Karol Bagh,Elaichi Chai,2,40,UPI
B19311,21-03-2026,15,Connaught Place,Samosa,2,25,UPI
B18106,11-03-2026,8,Connaught Place,Filter Coffee,1,60,UPI
B22731,19-04-2026,17,Connaught Place,Samosa,2,25,UPI
B27915,01-06-2026,21,Connaught Place,Paneer Sandwich,1,80,UPI
B30605,24-06-2026,22,Connaught Place,Adrak Chai,1,35,Card
B18773,16-03-2026,13,Karol Bagh, Filter Coffee,1,60,UPI
B12240,20-01-2026,12,Connaught Place,Poha,2,50,UPI
B26316,18-05-2026,8,Karol Bagh,Iced Tea,1,80,UPI
B15867,20-02-2026,9,Connaught Place,Vada Pav,2,35,UPI
B12649,23-01-2026,22,Noida Sec 18,Samosa,1,25,Card
B16589,26-02-2026,12,Connaught Place,Adrak Chai,1,35,UPI
B13303,29-01-2026,19,Connaught Place,Bun Maska,1,40,UPI
B18443,13-03-2026,17,Noida Sec 18,Vada Pav,1,35,
B24418,02-05-2026,17,Noida Sec 18,Adrak Chai,2,35,Cash
B23284,23-04-2026,22,Karol Bagh,Samosa,1,25,Cash
B15423,16-02-2026,11,Connaught Place,Poha,1,50,Card
B17865,09-03-2026,18,Connaught Place,Masala Chai,1,30,Cash
B20946,03-04-2026,9,Noida Sec 18,Masala Chai,1,30,Cash
B25938,15-05-2026,14,Connaught Place,Filter Coffee,1,60,UPI
B10452,04-01-2026,20,Noida Sec 18,Masala Chai,2,30,Cash
B14072,04-02-2026,8,Karol Bagh,Bun Maska,1,40,UPI
B24281,01-05-2026,16,Noida Sec 18,Samosa,2,25,Card
B14510,08-02-2026,19,Connaught Place,Green Tea,2,40,Cash
B10131,02-01-2026,8,Connaught Place,Vada Pav,2,35,UPI
B16581,26-02-2026,18,Connaught Place,Poha,1,50,Cash
B23512,25-04-2026,17,Karol Bagh,Cold Coffee,1,90,UPI
B21796,11-04-2026,16,Connaught Place,Aloo Patty,2,30,UPI
B28736,08-06-2026,8,Connaught Place,Fresh Lime Soda,1,60,UPI
B16072,21-02-2026,16,Karol Bagh,Kulhad Chai,2,50,UPI
B26690,21-05-2026,8,Karol Bagh,Elaichi Chai,1,40,UPI
B13112,27-01-2026,8,Connaught Place,Masala Chai,1,30,Card
B14427,07-02-2026,21,Karol Bagh,Vada Pav,1,35,UPI
B23863,28-04-2026,15,Karol Bagh,MAGGI,2,60,Cash
B30348,22-06-2026,9,Connaught Place,Poha,2,50,Card
B15916,20-02-2026,16,Karol Bagh,Masala Chai,1,30,Card
B22042,13-04-2026,10,Connaught Place,Fresh Lime Soda,1,60,Cash
B14285,06-02-2026,15,Karol Bagh,Filter Coffee,1,60,Cash
B17116,02-03-2026,16,Noida Sec 18,Masala Chai,1,30,UPI
B21298,06-04-2026,8,Karol Bagh,Iced Tea,1,80,UPI
B26028,15-05-2026,19,Noida Sec 18,Maggi,1,60,UPI
B18001,10-03-2026,9,Connaught Place,Adrak Chai,1,35,Cash
B22994,21-04-2026,12,Connaught Place,Adrak Chai,1,35,UPI
B27950,01-06-2026,8,Connaught Place,Filter Coffee,1,60,Cash
B31189,29-06-2026,11,Connaught Place,Paneer Sandwich,1,80,Card
B20331,29-03-2026,15,Karol Bagh,Green Tea,2,40,UPI
B10157,02-01-2026,10,Karol Bagh,Maggi,1,60,UPI
B12958,25-01-2026,22,Noida Sec 18,Adrak Chai,1,35,Cash
B20765,02-04-2026,8,Connaught Place,Maggi,1,60,UPI
B17063,02-03-2026,14,Connaught Place,Green Tea,1,40,UPI
B22369,15-04-2026,12,Noida Sec 18,Fresh Lime Soda,1,60,Card
B13604,31-01-2026,19,Karol Bagh,Samosa,1,25,Cash
B17825,08-03-2026,16,Karol Bagh,Filter Coffee,1,60,Cash
B29849,17-06-2026,14,Karol Bagh,Masala Chai,1,30,UPI
B21236,06-04-2026,16,Connaught Place,Elaichi Chai,1,40,Card
B28151,03-06-2026,9,Connaught Place,Kulhad Chai,1,50,UPI
B20460,30-03-2026,8,Karol Bagh,Masala Chai,1,30,Cash
B21074,04-04-2026,22,Noida Sec 18,Elaichi Chai,1,40,Cash
B27593,29-05-2026,17,Connaught Place,Poha,1,50,UPI
B25324,10-05-2026,16,Connaught Place,Masala Chai,1,30,UPI
B27527,28-05-2026,18,Karol Bagh,Adrak Chai,1,35,UPI
B19073,18-03-2026,8,Noida Sec 18,Masala Chai,1,30,
B11801,16-01-2026,11,Karol Bagh, Poha,1,50,UPI
B24061,30-04-2026,8,Connaught Place,Iced Tea,1,80,Card
B20363,29-03-2026,13,Karol Bagh,Iced Tea,2,80,UPI
B27344,26-05-2026,18,Noida Sec 18,Vada Pav,2,35,Cash
B27473,28-05-2026,13,Connaught Place,Masala Chai,2,30,UPI
B23216,23-04-2026,8,Connaught Place,Maggi,1,60,UPI
B11973,18-01-2026,21,Connaught Place,Adrak Chai,1,35,UPI
B16686,26-02-2026,14,Noida Sec 18,Masala Chai,1,30,UPI
B30583,24-06-2026,13,Connaught Place,Iced Tea,1,80,UPI
B20645,01-04-2026,8,Connaught Place,Iced Tea,1,80,Cash
B27413,27-05-2026,15,Karol Bagh,Iced Tea,2,80,Cash
B28463,05-06-2026,21,Noida Sec 18,Masala Chai,1,30,UPI
B13903,02-02-2026,10,Noida Sec 18,Masala Chai,2,30,UPI
B18282,12-03-2026,16,Karol Bagh,Maggi,2,60,UPI
B29109,11-06-2026,8,Connaught Place,Masala Chai,1,30,Cash
B20516,30-03-2026,21,Noida Sec 18,Masala Chai,1,30,UPI
B11474,13-01-2026,8,Noida Sec 18,Masala Chai,2,30,Cash
B13530,31-01-2026,14,Connaught Place,Adrak Chai,1,35,UPI
